node,age,age_range,distance_from_ref
E11,1,0-9,0.0
E11,2,10-19,0.06451284140348434
E11,3,20-29,3.7356741428375244
E11,4,30-39,3.271277904510498
E11,5,40-49,2.6671390533447266
E11,6,50-59,2.563124895095825
E11,7,60-69,2.3711912631988525
E11,8,70-79,2.4477829933166504
I10,1,0-9,0.0
I10,2,10-19,4.446460723876953
I10,3,20-29,3.662339925765991
I10,4,30-39,3.1510744094848633
I10,5,40-49,2.5959320068359375
I10,6,50-59,2.5273115634918213
I10,7,60-69,2.4625468254089355
I10,8,70-79,2.5287654399871826
I50,1,0-9,0.0
I50,2,10-19,0.07153745740652084
I50,3,20-29,0.06869523972272873
I50,4,30-39,3.428548574447632
I50,5,40-49,2.6760168075561523
I50,6,50-59,2.4827914237976074
I50,7,60-69,2.4019880294799805
I50,8,70-79,2.4463932514190674
E66,1,0-9,0.0
E66,2,10-19,3.13252329826355
E66,3,20-29,3.307654619216919
E66,4,30-39,3.430046558380127
E66,5,40-49,3.23753023147583
E66,6,50-59,3.3330421447753906
E66,7,60-69,2.228301525115967
E66,8,70-79,2.21380352973938
F32,1,0-9,0.0
F32,2,10-19,4.329980850219727
F32,3,20-29,3.6226627826690674
F32,4,30-39,3.2944164276123047
F32,5,40-49,2.556688070297241
F32,6,50-59,2.60931396484375
F32,7,60-69,2.466823101043701
F32,8,70-79,2.518234968185425
C73,1,0-9,0.0
C73,2,10-19,0.06990335881710052
C73,3,20-29,0.06641500443220139
C73,4,30-39,6.082839488983154
C73,5,40-49,4.816720485687256
C73,6,50-59,4.295344829559326
C73,7,60-69,3.0991063117980957
C73,8,70-79,0.06945086270570755
M23,1,0-9,0.0
M23,2,10-19,5.160802364349365
M23,3,20-29,4.866432189941406
M23,4,30-39,4.542072296142578
M23,5,40-49,4.201536655426025
M23,6,50-59,4.0283708572387695
M23,7,60-69,4.1380510330200195
M23,8,70-79,4.469372272491455
F20,1,0-9,0.0
F20,2,10-19,5.705327033996582
F20,3,20-29,3.6871864795684814
F20,4,30-39,3.388442277908325
F20,5,40-49,3.2570393085479736
F20,6,50-59,2.4912703037261963
F20,7,60-69,2.2298007011413574
F20,8,70-79,0.06955752521753311
M51,1,0-9,0.0
M51,2,10-19,5.351724147796631
M51,3,20-29,4.437064170837402
M51,4,30-39,3.823789119720459
M51,5,40-49,3.4347195625305176
M51,6,50-59,3.152974843978882
M51,7,60-69,3.2028770446777344
M51,8,70-79,3.100843906402588
K08,1,0-9,0.0
K08,2,10-19,4.170827388763428
K08,3,20-29,1.5608210563659668
K08,4,30-39,1.5116016864776611
K08,5,40-49,1.7793934345245361
K08,6,50-59,3.025484085083008
K08,7,60-69,4.178525447845459
K08,8,70-79,4.1642937660217285
