node,mean_drift
H46-H48,2.4808275774121284
G35-G37,2.0474722316222533
L60-L75,2.0080824068614413
A50-A64,1.9128195536988122
H30-H36,1.794657045177051
K35-K38,1.6544141599110194
L00-L08,1.6462081330163139
N20-N23,1.6296495710100447
M95-M99,1.5975360785211836
L80-L99,1.5738364032336645
K65-K67,1.5341975348336356
A65-A69,1.4295407363346644
L55-L59,1.4278061453785216
B15-B19,1.3982936484473092
N80-N98,1.3920158999306815
B00-B09,1.36620318038123
K00-K14,1.3540364035538264
H49-H52,1.3469645295824324
H80-H83,1.3358329279082162
F20-F29,1.3356622798102242
