node,age,age_range,distance_from_ref
E11,1,0-9,0.0
E11,2,10-19,0.06920915842056274
E11,3,20-29,2.887371778488159
E11,4,30-39,2.4564576148986816
E11,5,40-49,2.268993854522705
E11,6,50-59,2.2571191787719727
E11,7,60-69,2.1662702560424805
E11,8,70-79,2.167818307876587
I10,1,0-9,0.0
I10,2,10-19,3.2894067764282227
I10,3,20-29,2.85671329498291
I10,4,30-39,2.4253430366516113
I10,5,40-49,2.1963422298431396
I10,6,50-59,2.122335910797119
I10,7,60-69,2.0813229084014893
I10,8,70-79,2.086725950241089
I50,1,0-9,0.0
I50,2,10-19,0.0752338096499443
I50,3,20-29,0.0820896252989769
I50,4,30-39,0.0729924812912941
I50,5,40-49,2.5551393032073975
I50,6,50-59,2.1637837886810303
I50,7,60-69,1.9434095621109009
I50,8,70-79,1.9669393301010132
E66,1,0-9,0.0
E66,2,10-19,3.2409651279449463
E66,3,20-29,2.857055425643921
E66,4,30-39,2.4738869667053223
E66,5,40-49,2.230447769165039
E66,6,50-59,2.1923413276672363
E66,7,60-69,2.0531702041625977
E66,8,70-79,2.052645683288574
F32,1,0-9,0.0
F32,2,10-19,3.0256545543670654
F32,3,20-29,2.637073040008545
F32,4,30-39,2.3371529579162598
F32,5,40-49,2.200266122817993
F32,6,50-59,2.1560163497924805
F32,7,60-69,2.122661828994751
F32,8,70-79,2.065279006958008
C82,1,0-9,0.0
C82,2,10-19,0.06588896363973618
C82,3,20-29,0.07076174020767212
C82,4,30-39,0.07516512274742126
C82,5,40-49,6.41583251953125
C82,6,50-59,7.10927677154541
C82,7,60-69,7.058804988861084
C82,8,70-79,0.0643835961818695
C83,1,0-9,0.0
C83,2,10-19,0.0689484104514122
C83,3,20-29,0.06863409280776978
C83,4,30-39,0.0666462704539299
C83,5,40-49,6.3085246086120605
C83,6,50-59,6.995663166046143
C83,7,60-69,7.115969657897949
C83,8,70-79,7.546499729156494
C85,1,0-9,0.0
C85,2,10-19,0.06792490929365158
C85,3,20-29,0.06822314113378525
C85,4,30-39,0.06881746649742126
C85,5,40-49,6.290805339813232
C85,6,50-59,6.847764492034912
C85,7,60-69,7.00787878036499
C85,8,70-79,7.171353816986084
K65,1,0-9,0.0
K65,2,10-19,6.1906585693359375
K65,3,20-29,0.06859248131513596
K65,4,30-39,0.07455660402774811
K65,5,40-49,2.803224563598633
K65,6,50-59,2.8970770835876465
K65,7,60-69,2.6758222579956055
K65,8,70-79,2.629495143890381
D06,1,0-9,0.0
D06,2,10-19,0.07138103246688843
D06,3,20-29,5.92338228225708
D06,4,30-39,4.1855244636535645
D06,5,40-49,4.0876312255859375
D06,6,50-59,4.563203811645508
D06,7,60-69,0.07399173825979233
D06,8,70-79,0.07405653595924377
