node,age,age_range,distance_from_ref
E11,1,0-9,0.0
E11,2,10-19,0.07288632541894913
E11,3,20-29,2.9712955951690674
E11,4,30-39,2.624086618423462
E11,5,40-49,2.3077592849731445
E11,6,50-59,2.1714181900024414
E11,7,60-69,2.078359842300415
E11,8,70-79,2.1544432640075684
I10,1,0-9,0.0
I10,2,10-19,3.657214641571045
I10,3,20-29,2.9189324378967285
I10,4,30-39,2.502350330352783
I10,5,40-49,2.1699931621551514
I10,6,50-59,2.1149957180023193
I10,7,60-69,2.1244022846221924
I10,8,70-79,2.1492464542388916
I50,1,0-9,0.0
I50,2,10-19,0.07261981070041656
I50,3,20-29,0.07099612802267075
I50,4,30-39,2.637540578842163
I50,5,40-49,2.2583839893341064
I50,6,50-59,2.0595903396606445
I50,7,60-69,2.077256202697754
I50,8,70-79,2.026432991027832
E66,1,0-9,0.0
E66,2,10-19,2.871222972869873
E66,3,20-29,2.634072780609131
E66,4,30-39,2.871225357055664
E66,5,40-49,2.7128360271453857
E66,6,50-59,2.2573373317718506
E66,7,60-69,1.9560892581939697
E66,8,70-79,2.0738937854766846
F32,1,0-9,0.0
F32,2,10-19,3.3877315521240234
F32,3,20-29,2.8363912105560303
F32,4,30-39,2.451460838317871
F32,5,40-49,2.291417360305786
F32,6,50-59,2.1966514587402344
F32,7,60-69,2.151291608810425
F32,8,70-79,2.129883050918579
C85,1,0-9,0.0
C85,2,10-19,0.07046186923980713
C85,3,20-29,0.07312971353530884
C85,4,30-39,0.06534627825021744
C85,5,40-49,7.5491414070129395
C85,6,50-59,6.55771541595459
C85,7,60-69,6.841217994689941
C85,8,70-79,7.763492584228516
C82,1,0-9,0.0
C82,2,10-19,0.0645502582192421
C82,3,20-29,0.0707213282585144
C82,4,30-39,0.07520884275436401
C82,5,40-49,7.17681884765625
C82,6,50-59,6.831666469573975
C82,7,60-69,7.035166263580322
C82,8,70-79,0.06759603321552277
C83,1,0-9,0.0
C83,2,10-19,0.07021120935678482
C83,3,20-29,0.07017713040113449
C83,4,30-39,0.07137800008058548
C83,5,40-49,7.303812026977539
C83,6,50-59,6.631023406982422
C83,7,60-69,6.992210865020752
C83,8,70-79,8.21079158782959
K08,1,0-9,0.0
K08,2,10-19,3.353447914123535
K08,3,20-29,1.7467737197875977
K08,4,30-39,1.7682465314865112
K08,5,40-49,1.632480263710022
K08,6,50-59,5.102730751037598
K08,7,60-69,3.3624067306518555
K08,8,70-79,3.3586127758026123
M67,1,0-9,0.0
M67,2,10-19,4.591732501983643
M67,3,20-29,4.479702949523926
M67,4,30-39,4.311576843261719
M67,5,40-49,3.7902684211730957
M67,6,50-59,3.485198974609375
M67,7,60-69,3.4360036849975586
M67,8,70-79,4.526105880737305
