age_from,age_to,node,drift
1,2,N99-N99,0.058690063655376434
1,2,B50-B64,0.061187002807855606
1,2,B95-B98,1.9719313383102417
1,2,A15-A19,0.06608355045318604
1,2,K50-K52,0.9433983564376831
1,2,N10-N16,1.3889899253845215
1,2,M95-M99,2.76523756980896
1,2,E70-E90,0.8591257929801941
1,2,I60-I69,1.9368667602539062
1,2,L00-L08,1.2364168167114258
1,2,E10-E14,0.6585387587547302
1,2,A65-A69,5.707125663757324
1,2,G35-G37,0.06376473605632782
1,2,H55-H59,2.46941876411438
1,2,B20-B24,0.06063433736562729
1,2,H65-H75,0.7869924306869507
1,2,A50-A64,2.624143123626709
1,2,J00-J06,1.070760726928711
1,2,K35-K38,2.421776056289673
1,2,C00-C97,0.8073522448539734
1,2,E40-E46,2.0122547149658203
1,2,F10-F19,1.800953984260559
1,2,J80-J84,0.05945383757352829
1,2,N30-N39,1.3714956045150757
1,2,N25-N29,1.32894766330719
1,2,D50-D53,0.9930455088615417
1,2,G00-G09,0.05887298658490181
1,2,B85-B89,0.052490051835775375
1,2,D10-D36,0.6740836501121521
1,2,L50-L54,1.1444951295852661
1,2,D55-D59,0.062612384557724
1,2,F60-F69,1.7273616790771484
1,2,D80-D89,2.0198607444763184
1,2,I70-I79,0.06299924850463867
1,2,K80-K87,1.0454660654067993
1,2,L40-L45,0.054139964282512665
1,2,G80-G83,0.8230407238006592
1,2,J20-J22,0.8919724225997925
1,2,K40-K46,4.361614227294922
1,2,B65-B83,2.44148588180542
1,2,F80-F89,0.7696750164031982
1,2,F40-F48,0.798447847366333
1,2,I95-I99,1.7506325244903564
1,2,J90-J94,0.8510091304779053
1,2,F70-F79,0.791176438331604
1,2,J30-J39,0.7836308479309082
1,2,N40-N51,0.06358519941568375
1,2,J95-J99,0.7545585632324219
1,2,M60-M79,0.7435605525970459
1,2,H46-H48,0.04901329427957535
1,2,H15-H22,0.05227452144026756
1,2,F30-F39,1.6118991374969482
1,2,H80-H83,2.3258423805236816
1,2,N70-N77,1.0609581470489502
1,2,K55-K64,0.90062415599823
1,2,M40-M54,1.7106364965438843
1,2,I26-I28,0.05554976314306259
1,2,E65-E68,1.2007492780685425
1,2,B15-B19,1.9543163776397705
1,2,N00-N08,0.05528457090258598
1,2,J09-J18,0.7705820202827454
1,2,M80-M94,0.8705416321754456
1,2,F99-F99,0.06002269312739372
1,2,D65-D69,0.8761775493621826
1,2,A30-A49,1.2167034149169922
1,2,B25-B34,1.0893863439559937
1,2,K65-K67,2.2758800983428955
1,2,F00-F09,0.05722282826900482
1,2,L55-L59,0.061975836753845215
1,2,A70-A74,0.054904501885175705
1,2,K20-K31,0.7912415266036987
1,2,D70-D77,0.9334240555763245
1,2,H90-H95,0.6810254454612732
1,2,K90-K93,0.8678057193756104
1,2,B90-B94,0.056246012449264526
1,2,K00-K14,0.6305661797523499
1,2,F20-F29,1.7395226955413818
1,2,E50-E64,0.06315325200557709
1,2,A20-A28,0.058696646243333817
1,2,E15-E16,0.5470677614212036
1,2,H49-H52,0.6030710935592651
1,2,L60-L75,2.3098180294036865
1,2,N17-N19,0.0486484058201313
1,2,H30-H36,0.05543557181954384
1,2,E00-E07,1.6086286306381226
1,2,H00-H06,0.053103167563676834
1,2,I80-I89,0.694180965423584
1,2,H25-H28,0.05282127857208252
1,2,J60-J70,0.0667356476187706
1,2,K70-K77,0.8677486181259155
1,2,G60-G64,0.06456387042999268
1,2,D60-D64,0.8287985324859619
1,2,L10-L14,0.0570630319416523
1,2,H40-H42,0.05914793908596039
1,2,M30-M36,0.058587729930877686
1,2,A92-A99,0.060141537338495255
1,2,A00-A09,0.8444521427154541
1,2,N20-N23,3.167031764984131
1,2,L20-L30,1.0126584768295288
1,2,H10-H13,1.7679541110992432
1,2,B35-B49,1.856257438659668
1,2,D00-D09,0.0561322458088398
1,2,A80-A89,0.05039717257022858
1,2,M00-M25,0.7862465381622314
1,2,I20-I25,0.06352876126766205
1,2,B99-B99,1.328727126121521
1,2,J85-J86,0.06011652201414108
1,2,D37-D48,0.7157446146011353
1,2,I00-I02,0.054160226136446
1,2,L80-L99,1.8062702417373657
1,2,I10-I15,1.5903434753417969
1,2,G30-G32,0.05803850293159485
1,2,I05-I09,0.05644873529672623
1,2,H60-H62,2.5691423416137695
1,2,B00-B09,1.0077019929885864
1,2,F50-F59,1.4640717506408691
1,2,G50-G59,4.168483734130859
1,2,H43-H45,0.060521773993968964
1,2,E20-E36,1.4604449272155762
1,2,I30-I52,1.3980720043182373
1,2,G10-G14,0.06075642630457878
1,2,F90-F98,0.728340744972229
1,2,G20-G26,0.058933794498443604
1,2,H53-H54,0.6586014032363892
1,2,N80-N98,4.473082542419434
1,2,G70-G73,0.05698966234922409
1,2,G40-G47,0.8545228242874146
1,2,J40-J47,0.8691743016242981
1,2,N60-N64,0.05772623047232628
1,2,G90-G99,1.0632356405258179
1,2,A75-A79,0.05453517287969589
2,3,N99-N99,2.140033483505249
2,3,B50-B64,0.0684678852558136
2,3,B95-B98,0.061527758836746216
2,3,A15-A19,0.06379371136426926
2,3,K50-K52,1.02622652053833
2,3,N10-N16,1.3982456922531128
2,3,M95-M99,1.5272140502929688
2,3,E70-E90,0.762016236782074
2,3,I60-I69,1.7731595039367676
2,3,L00-L08,1.2549949884414673
2,3,E10-E14,0.9949429035186768
2,3,A65-A69,0.046180129051208496
2,3,G35-G37,3.0759124755859375
2,3,H55-H59,0.0545932836830616
2,3,B20-B24,1.7188096046447754
2,3,H65-H75,0.7647846937179565
2,3,A50-A64,2.6257622241973877
2,3,J00-J06,0.7327085137367249
2,3,K35-K38,1.8435633182525635
2,3,C00-C97,0.8241300582885742
2,3,E40-E46,0.05923780798912048
2,3,F10-F19,1.2003872394561768
2,3,J80-J84,0.062444888055324554
2,3,N30-N39,1.3091857433319092
2,3,N25-N29,1.3548099994659424
2,3,D50-D53,1.050626516342163
2,3,G00-G09,0.0601683035492897
2,3,B85-B89,0.07002820074558258
2,3,D10-D36,1.026178002357483
2,3,L50-L54,1.0421522855758667
2,3,D55-D59,0.05820077285170555
2,3,F60-F69,1.066892147064209
2,3,D80-D89,0.04680495336651802
2,3,I70-I79,0.05956506356596947
2,3,K80-K87,0.831516683101654
2,3,L40-L45,0.06005392596125603
2,3,G80-G83,1.118107795715332
2,3,J20-J22,0.7996781468391418
2,3,K40-K46,0.7909864187240601
2,3,B65-B83,2.4410195350646973
2,3,F80-F89,1.7764182090759277
2,3,F40-F48,0.6942271590232849
2,3,I95-I99,1.1954867839813232
2,3,J90-J94,0.8526960611343384
2,3,F70-F79,0.806738018989563
2,3,J30-J39,0.8967390060424805
2,3,N40-N51,0.06602602452039719
2,3,J95-J99,1.0000896453857422
2,3,M60-M79,0.8324019908905029
2,3,H46-H48,3.1737020015716553
2,3,H15-H22,0.06394221633672714
2,3,F30-F39,1.074078917503357
2,3,H80-H83,1.1467528343200684
2,3,N70-N77,1.3782484531402588
2,3,K55-K64,0.7689701318740845
2,3,M40-M54,1.4532415866851807
2,3,I26-I28,1.82246732711792
2,3,E65-E68,0.7102117538452148
2,3,B15-B19,1.6368573904037476
2,3,N00-N08,1.4971230030059814
2,3,J09-J18,0.9025843143463135
2,3,M80-M94,0.6784296035766602
2,3,F99-F99,0.061122070997953415
2,3,D65-D69,1.3861479759216309
2,3,A30-A49,2.1325836181640625
2,3,B25-B34,0.9626367688179016
2,3,K65-K67,1.4136923551559448
2,3,F00-F09,0.0688776820898056
2,3,L55-L59,1.6694777011871338
2,3,A70-A74,0.060498274862766266
2,3,K20-K31,0.766304075717926
2,3,D70-D77,0.9967551827430725
2,3,H90-H95,0.7254478931427002
2,3,K90-K93,0.7866742610931396
2,3,B90-B94,1.5478545427322388
2,3,K00-K14,1.8304526805877686
2,3,F20-F29,1.0426158905029297
2,3,E50-E64,1.5685831308364868
2,3,A20-A28,0.059142135083675385
2,3,E15-E16,2.0825507640838623
2,3,H49-H52,5.617012023925781
2,3,L60-L75,1.4479466676712036
2,3,N17-N19,1.483953833580017
2,3,H30-H36,6.847314834594727
2,3,E00-E07,1.1339620351791382
2,3,H00-H06,0.0608937069773674
2,3,I80-I89,0.9554913640022278
2,3,H25-H28,0.06023639813065529
2,3,J60-J70,0.06385316699743271
2,3,K70-K77,0.7739801406860352
2,3,G60-G64,0.06541693955659866
2,3,D60-D64,1.179268717765808
2,3,L10-L14,0.06177796795964241
2,3,H40-H42,0.0617394857108593
2,3,M30-M36,1.6660139560699463
2,3,A92-A99,0.05634305626153946
2,3,A00-A09,1.0042195320129395
2,3,N20-N23,1.6463667154312134
2,3,L20-L30,0.8814898729324341
2,3,H10-H13,0.05272240564227104
2,3,B35-B49,1.5315426588058472
2,3,D00-D09,0.060725610703229904
2,3,A80-A89,0.05941277742385864
2,3,M00-M25,0.7690529823303223
2,3,I20-I25,0.06426198035478592
2,3,B99-B99,2.045759677886963
