node,mean_drift
H30-H36,2.292777057737112
H49-H52,2.0497002516474043
H53-H54,1.9295985060078757
H46-H48,1.8740387867603983
L60-L75,1.7828640597207206
A50-A64,1.6276965492538042
G35-G37,1.5935171906437193
M95-M99,1.531746310847146
K35-K38,1.4980647904532296
N20-N23,1.437956988811493
B15-B19,1.4062635898590088
L80-L99,1.4047277654920305
A65-A69,1.3825233695762498
N60-N64,1.377554769494704
L55-L59,1.325554949896676
M40-M54,1.2918818252427238
H80-H83,1.2907941256250655
K65-K67,1.2757631114551
N80-N98,1.2373404162270683
D00-D09,1.2150990239211492
