age_from,age_to,node,drift
2,3,Thyroid diseases,2.8436272144317627
2,3,Cardiac arrhythmias,0.03347355127334595
2,3,Cardiac valve disorders,0.03335824981331825
2,3,Renal insufficiency,1.745779275894165
2,3,Cerebral ischemia/chronic stroke,2.051851749420166
2,3,Dizziness,3.8560359477996826
2,3,Intestinal diverticulosis,0.03316451609134674
2,3,Severe hearing loss,0.03270936384797096
2,3,Chronic low back pain,0.0255559291690588
2,3,Urinary tract calculi,1.7745386362075806
2,3,Gynecological problems,0.027324559167027473
2,3,Chronic ischemic heart disease,0.029904143884778023
2,3,Insomnia,1.7087461948394775
2,3,Anemia,1.6990599632263184
2,3,Parkinson’s disease,0.03230571374297142
2,3,Anxiety,2.1393516063690186
2,3,Migraine/chronic headache,2.3576042652130127
2,3,Psoriasis,0.036509569734334946
2,3,Somatoform disorders,2.2168796062469482
2,3,Neuropathies,0.03223557397723198
2,3,Liver disease,1.2228882312774658
2,3,Rheumatoid arthritis/chronic polyarthritis,0.029576247557997704
2,3,Lipid metabolism disorders8,1.2507761716842651
2,3,Hypertension,1.2695703506469727
2,3,Osteoporosis,0.029451459646224976
2,3,Hypotension,0.037170812487602234
2,3,Prostatic hyperplasia,0.03297712281346321
2,3,Obesity,1.3637644052505493
2,3,Tobacco abuse,1.4214128255844116
2,3,Hyperuricemia/gout,0.03548065200448036
2,3,Severe vision reduction,0.03164639323949814
2,3,Sexual dysfunction,0.03466146066784859
2,3,Dementia,0.03268066421151161
2,3,Depression,2.2548484802246094
2,3,Joint arthrosis,0.03425247222185135
2,3,Atherosclerosis/PAOD,2.1559576988220215
2,3,Hemorrhoids,0.03265805169939995
2,3,Urinary incontinence,1.8174893856048584
2,3,Cancer,0.030870338901877403
2,3,Asthma/COPD,1.6554573774337769
2,3,Cardiac insufficiency,0.039426498115062714
2,3,Diabetes mellitus,2.7151877880096436
2,3,Chronic gastritis/GERD,1.735081672668457
2,3,Chronic cholecystitis/gallstones,1.3046594858169556
2,3,Lower limb varicosis,0.029651835560798645
2,3,Allergy,0.03586481139063835
3,4,Thyroid diseases,0.6181514263153076
3,4,Cardiac arrhythmias,1.1488068103790283
3,4,Cardiac valve disorders,0.030520329251885414
3,4,Renal insufficiency,0.7500612139701843
3,4,Cerebral ischemia/chronic stroke,1.33246910572052
3,4,Dizziness,1.7395459413528442
3,4,Intestinal diverticulosis,1.583173155784607
3,4,Severe hearing loss,1.8553569316864014
3,4,Chronic low back pain,1.3802839517593384
3,4,Urinary tract calculi,1.1141163110733032
3,4,Gynecological problems,0.026764262467622757
3,4,Chronic ischemic heart disease,1.140845537185669
3,4,Insomnia,0.6748376488685608
3,4,Anemia,0.8311592936515808
3,4,Parkinson’s disease,0.0381501168012619
3,4,Anxiety,0.501529335975647
3,4,Migraine/chronic headache,0.7188338041305542
3,4,Psoriasis,0.04074498638510704
3,4,Somatoform disorders,0.4228176772594452
3,4,Neuropathies,0.0386010967195034
3,4,Liver disease,0.6980007290840149
3,4,Rheumatoid arthritis/chronic polyarthritis,1.866562008857727
3,4,Lipid metabolism disorders8,0.618737518787384
3,4,Hypertension,0.5816555619239807
3,4,Osteoporosis,0.03289774805307388
3,4,Hypotension,1.272166132926941
3,4,Prostatic hyperplasia,0.03338609263300896
3,4,Obesity,0.5457468032836914
3,4,Tobacco abuse,0.4851963520050049
3,4,Hyperuricemia/gout,1.2143634557724
3,4,Severe vision reduction,1.3236109018325806
3,4,Sexual dysfunction,0.03847682103514671
3,4,Dementia,0.038954462856054306
3,4,Depression,0.5390612483024597
3,4,Joint arthrosis,2.002622127532959
3,4,Atherosclerosis/PAOD,1.467089295387268
3,4,Hemorrhoids,0.03029177151620388
3,4,Urinary incontinence,1.002634882926941
3,4,Cancer,0.034367892891168594
3,4,Asthma/COPD,0.6645030379295349
3,4,Cardiac insufficiency,0.03469454497098923
3,4,Diabetes mellitus,0.5884788036346436
3,4,Chronic gastritis/GERD,0.9815340638160706
3,4,Chronic cholecystitis/gallstones,0.7156312465667725
3,4,Lower limb varicosis,0.03670907020568848
3,4,Allergy,0.03994932398200035
4,5,Thyroid diseases,0.39706262946128845
4,5,Cardiac arrhythmias,0.562012255191803
4,5,Cardiac valve disorders,1.096558928489685
4,5,Renal insufficiency,0.5797824263572693
4,5,Cerebral ischemia/chronic stroke,0.6981759667396545
4,5,Dizziness,0.32642483711242676
4,5,Intestinal diverticulosis,0.9630094766616821
4,5,Severe hearing loss,0.8171329498291016
4,5,Chronic low back pain,0.7754772305488586
4,5,Urinary tract calculi,0.9714113473892212
4,5,Gynecological problems,0.030310070142149925
4,5,Chronic ischemic heart disease,0.5429864525794983
4,5,Insomnia,0.4689542353153229
4,5,Anemia,0.605407178401947
4,5,Parkinson’s disease,0.0476241335272789
4,5,Anxiety,0.34173715114593506
4,5,Migraine/chronic headache,0.20274095237255096
4,5,Psoriasis,1.0485550165176392
4,5,Somatoform disorders,0.3113882839679718
4,5,Neuropathies,0.03636084496974945
4,5,Liver disease,0.25166937708854675
4,5,Rheumatoid arthritis/chronic polyarthritis,1.3895515203475952
4,5,Lipid metabolism disorders8,0.31110212206840515
4,5,Hypertension,0.27762025594711304
4,5,Osteoporosis,0.037097543478012085
4,5,Hypotension,0.6323477029800415
4,5,Prostatic hyperplasia,0.03221128135919571
4,5,Obesity,0.31968697905540466
4,5,Tobacco abuse,0.34405478835105896
4,5,Hyperuricemia/gout,0.5400291085243225
4,5,Severe vision reduction,0.9138311743736267
4,5,Sexual dysfunction,0.03613082319498062
4,5,Dementia,1.3040519952774048
4,5,Depression,0.29972025752067566
4,5,Joint arthrosis,1.5618958473205566
4,5,Atherosclerosis/PAOD,0.6837106943130493
4,5,Hemorrhoids,1.5610772371292114
4,5,Urinary incontinence,1.171010136604309
4,5,Cancer,0.03526335209608078
4,5,Asthma/COPD,0.3060821294784546
4,5,Cardiac insufficiency,1.0551141500473022
4,5,Diabetes mellitus,0.3582697808742523
4,5,Chronic gastritis/GERD,0.71197110414505
4,5,Chronic cholecystitis/gallstones,0.5622601509094238
4,5,Lower limb varicosis,0.03973216563463211
4,5,Allergy,1.2591229677200317
5,6,Thyroid diseases,0.2536764144897461
5,6,Cardiac arrhythmias,0.39287808537483215
5,6,Cardiac valve disorders,0.49898967146873474
5,6,Renal insufficiency,0.4904507100582123
5,6,Cerebral ischemia/chronic stroke,0.6389541625976562
5,6,Dizziness,0.19036446511745453
5,6,Intestinal diverticulosis,0.7178141474723816
5,6,Severe hearing loss,0.6735222935676575
5,6,Chronic low back pain,0.8279982209205627
5,6,Urinary tract calculi,0.7496736645698547
5,6,Gynecological problems,0.03330976143479347
5,6,Chronic ischemic heart disease,0.4240439534187317
5,6,Insomnia,0.4565018117427826
5,6,Anemia,0.6425607800483704
5,6,Parkinson’s disease,1.209620475769043
5,6,Anxiety,0.18443726003170013
5,6,Migraine/chronic headache,0.20051796734333038
5,6,Psoriasis,0.6496782898902893
5,6,Somatoform disorders,0.224860280752182
5,6,Neuropathies,0.033911772072315216
5,6,Liver disease,0.24970099329948425
5,6,Rheumatoid arthritis/chronic polyarthritis,0.7687205672264099
5,6,Lipid metabolism disorders8,0.1761535406112671
5,6,Hypertension,0.22417879104614258
5,6,Osteoporosis,1.4250253438949585
5,6,Hypotension,0.7680069804191589
5,6,Prostatic hyperplasia,0.04217742756009102
5,6,Obesity,0.37920135259628296
5,6,Tobacco abuse,0.2942250072956085
5,6,Hyperuricemia/gout,0.4221338629722595
5,6,Severe vision reduction,0.7934256792068481
5,6,Sexual dysfunction,0.033462777733802795
5,6,Dementia,0.802761971950531
5,6,Depression,0.23818065226078033
5,6,Joint arthrosis,1.0815314054489136
5,6,Atherosclerosis/PAOD,0.41185829043388367
5,6,Hemorrhoids,0.9646166563034058
5,6,Urinary incontinence,0.85149085521698
5,6,Cancer,1.2955031394958496
5,6,Asthma/COPD,0.2761734127998352
5,6,Cardiac insufficiency,0.4492521584033966
5,6,Diabetes mellitus,0.22162722051143646
5,6,Chronic gastritis/GERD,0.6627017855644226
5,6,Chronic cholecystitis/gallstones,0.2962823808193207
5,6,Lower limb varicosis,0.027909360826015472
5,6,Allergy,0.5872061848640442
6,7,Thyroid diseases,0.31040483713150024
6,7,Cardiac arrhythmias,0.49589642882347107
6,7,Cardiac valve disorders,0.4613673686981201
6,7,Renal insufficiency,0.4464009404182434
6,7,Cerebral ischemia/chronic stroke,0.47081679105758667
6,7,Dizziness,0.4997138977050781
6,7,Intestinal diverticulosis,0.7634837031364441
6,7,Severe hearing loss,0.9886669516563416
6,7,Chronic low back pain,0.7958671450614929
6,7,Urinary tract calculi,0.9139550924301147
6,7,Gynecological problems,1.3103399276733398
6,7,Chronic ischemic heart disease,0.41561436653137207
6,7,Insomnia,0.4786556661128998
6,7,Anemia,0.6678270697593689
6,7,Parkinson’s disease,0.7488036155700684
6,7,Anxiety,0.23810656368732452
6,7,Migraine/chronic headache,0.3428344130516052
6,7,Psoriasis,0.46153339743614197
6,7,Somatoform disorders,0.2286979705095291
6,7,Neuropathies,1.0533047914505005
6,7,Liver disease,0.21687036752700806
6,7,Rheumatoid arthritis/chronic polyarthritis,0.5237200260162354
6,7,Lipid metabolism disorders8,0.23377837240695953
6,7,Hypertension,0.23423731327056885
6,7,Osteoporosis,1.0798521041870117
6,7,Hypotension,0.7044553756713867
6,7,Prostatic hyperplasia,0.04412907361984253
6,7,Obesity,0.30835890769958496
6,7,Tobacco abuse,0.19877927005290985
6,7,Hyperuricemia/gout,0.37021079659461975
6,7,Severe vision reduction,1.1052038669586182
6,7,Sexual dysfunction,0.02757781744003296
6,7,Dementia,0.6853995323181152
6,7,Depression,0.4286976456642151
6,7,Joint arthrosis,0.854094922542572
6,7,Atherosclerosis/PAOD,0.42173513770103455
6,7,Hemorrhoids,0.7932601571083069
6,7,Urinary incontinence,0.8425003290176392
6,7,Cancer,0.829974889755249
6,7,Asthma/COPD,0.22759997844696045
6,7,Cardiac insufficiency,0.46633413434028625
6,7,Diabetes mellitus,0.19217674434185028
6,7,Chronic gastritis/GERD,0.5072946548461914
6,7,Chronic cholecystitis/gallstones,0.34012454748153687
6,7,Lower limb varicosis,1.0797772407531738
6,7,Allergy,0.5842956304550171
7,8,Thyroid diseases,0.21165892481803894
7,8,Cardiac arrhythmias,0.45351678133010864
7,8,Cardiac valve disorders,0.43797680735588074
7,8,Renal insufficiency,0.3914099335670471
7,8,Cerebral ischemia/chronic stroke,0.5567023158073425
7,8,Dizziness,0.6048434376716614
7,8,Intestinal diverticulosis,0.7242509722709656
7,8,Severe hearing loss,1.1578264236450195
7,8,Chronic low back pain,0.4763350784778595
7,8,Urinary tract calculi,0.8124023675918579
7,8,Gynecological problems,0.8739240765571594
7,8,Chronic ischemic heart disease,0.3656213879585266
7,8,Insomnia,0.5289849042892456
7,8,Anemia,0.7262516617774963
7,8,Parkinson’s disease,0.7281736135482788
7,8,Anxiety,0.22712349891662598
7,8,Migraine/chronic headache,0.1831168383359909
7,8,Psoriasis,0.5513008832931519
7,8,Somatoform disorders,0.21109849214553833
7,8,Neuropathies,0.5700364708900452
7,8,Liver disease,0.21437042951583862
7,8,Rheumatoid arthritis/chronic polyarthritis,0.46498844027519226
7,8,Lipid metabolism disorders8,0.298897922039032
7,8,Hypertension,0.32296961545944214
7,8,Osteoporosis,0.5210562944412231
7,8,Hypotension,0.5347211360931396
7,8,Prostatic hyperplasia,0.029719451442360878
7,8,Obesity,0.3075684607028961
7,8,Tobacco abuse,0.21932882070541382
7,8,Hyperuricemia/gout,0.4427037239074707
7,8,Severe vision reduction,0.032962244004011154
7,8,Sexual dysfunction,0.03373502567410469
7,8,Dementia,0.689187228679657
7,8,Depression,0.15424732863903046
7,8,Joint arthrosis,0.6173024773597717
7,8,Atherosclerosis/PAOD,0.3639301657676697
7,8,Hemorrhoids,0.8531269431114197
7,8,Urinary incontinence,1.0345243215560913
7,8,Cancer,0.8025681972503662
7,8,Asthma/COPD,0.3275136947631836
7,8,Cardiac insufficiency,0.45962899923324585
7,8,Diabetes mellitus,0.17254140973091125
7,8,Chronic gastritis/GERD,0.538109302520752
7,8,Chronic cholecystitis/gallstones,0.33935296535491943
7,8,Lower limb varicosis,0.6851866841316223
7,8,Allergy,0.5060306191444397
