age_from,age_to,node,drift
1,2,F55,0.06925492733716965
1,2,I99,0.07467454671859741
1,2,D23,0.07076285779476166
1,2,M00,0.07016076147556305
1,2,A26,0.07171933352947235
1,2,A25,0.0736621543765068
1,2,D67,0.07232579588890076
1,2,D80,0.0645797923207283
1,2,C66,0.0613931342959404
1,2,D38,0.07470054179430008
1,2,N02,0.07562150806188583
1,2,D20,0.07256698608398438
1,2,N10,1.1636391878128052
1,2,E10,2.785804271697998
1,2,M16,0.06603342294692993
1,2,J02,2.740614891052246
1,2,E90,0.07247360795736313
1,2,E59,0.07588058710098267
1,2,A64,0.0729721412062645
1,2,H45,0.07083253562450409
1,2,K67,0.07562817633152008
1,2,B21,0.0626441091299057
1,2,G92,0.07143083959817886
1,2,K90,0.0716925710439682
1,2,J10,2.896397352218628
1,2,D46,0.06916777789592743
1,2,D47,0.06669247150421143
1,2,H70,3.127056121826172
1,2,A38,0.07352838665246964
1,2,A51,0.07299362123012543
1,2,L44,0.06500962376594543
1,2,K22,0.06838174909353256
1,2,G70,0.07124011218547821
1,2,C10,0.07157663255929947
1,2,N25,0.06514193117618561
1,2,M19,0.0683174580335617
1,2,N21,0.0693955048918724
1,2,C92,0.06631330400705338
1,2,D58,0.06929082423448563
1,2,A19,0.06843831390142441
1,2,H66,2.886942148208618
1,2,K59,1.424540638923645
1,2,K20,0.06676487624645233
1,2,M54,4.329309463500977
1,2,I65,0.07731813937425613
1,2,F17,3.1486902236938477
1,2,L83,0.0720696896314621
1,2,G03,0.06372489035129547
1,2,K03,0.0634714812040329
1,2,M86,0.06634098291397095
1,2,N61,0.07172391563653946
1,2,J68,0.0726047158241272
1,2,J12,2.82837176322937
1,2,I85,0.07877744734287262
1,2,A43,0.07364097237586975
1,2,A87,0.06852535903453827
1,2,D64,2.8010623455047607
1,2,A52,0.06384129077196121
1,2,J46,3.086703300476074
1,2,K64,0.06741433590650558
1,2,E29,0.07152902334928513
1,2,E71,0.06087885797023773
1,2,K93,0.07256033271551132
1,2,L57,0.07783585041761398
1,2,M93,0.07087309658527374
1,2,F14,0.0666889175772667
1,2,N06,0.06968588382005692
1,2,M45,0.0702657550573349
1,2,N07,0.06775651127099991
1,2,D72,0.06020217388868332
1,2,E72,0.0749625414609909
1,2,G36,0.06855360418558121
1,2,G72,0.07248137146234512
1,2,M50,0.06639831513166428
1,2,D53,0.0666542798280716
1,2,K26,0.06767386198043823
1,2,I68,0.07168366760015488
1,2,N62,0.0719214379787445
1,2,I21,0.06933244317770004
1,2,B74,0.07261084765195847
1,2,F10,3.1127567291259766
1,2,G58,0.0672067180275917
1,2,N01,0.07076341658830643
1,2,K56,1.172448754310608
1,2,F73,0.06665012240409851
1,2,E32,0.07328234612941742
1,2,J35,2.1719374656677246
1,2,L20,1.102354645729065
1,2,E40,0.07033181935548782
1,2,B16,0.07020153850317001
1,2,K76,3.3134186267852783
1,2,A70,0.06676677614450455
1,2,I71,0.06598136574029922
1,2,D15,0.0721704289317131
1,2,E70,0.06947679072618484
1,2,G80,3.2963650226593018
1,2,M34,0.06875268369913101
1,2,L02,0.07081487774848938
1,2,K82,0.07125125080347061
1,2,K92,3.271878957748413
1,2,M13,0.06753100454807281
1,2,E58,0.06910370290279388
1,2,I28,0.06697331368923187
1,2,M68,0.06524152308702469
1,2,C51,0.06705839186906815
1,2,N97,0.07049372047185898
1,2,L85,0.07078966498374939
1,2,C25,0.06628748029470444
1,2,G23,0.07286132127046585
1,2,J15,2.712111234664917
1,2,M23,4.913449764251709
1,2,M60,0.0661989375948906
1,2,G11,0.0725705623626709
1,2,C80,0.07077515870332718
1,2,D52,0.06598114222288132
1,2,E73,3.6397359371185303
1,2,F98,2.264084815979004
1,2,I61,0.06676673144102097
1,2,M42,0.07248671352863312
1,2,D33,0.07091475278139114
1,2,M99,0.06797105073928833
1,2,K58,0.07017089426517487
1,2,F81,3.0470097064971924
1,2,I49,0.07485761493444443
1,2,A23,0.07259423285722733
1,2,L12,0.06940212100744247
1,2,L97,0.06786812841892242
1,2,H62,0.07177547365427017
1,2,L40,0.06774014234542847
1,2,N15,0.07723791897296906
1,2,L89,0.07241621613502502
1,2,E76,0.06583211570978165
1,2,H69,3.8235764503479004
1,2,A01,0.06693413108587265
1,2,N04,0.06705265492200851
1,2,M49,0.07220124453306198
1,2,I20,0.06837683916091919
1,2,L42,0.0750076025724411
1,2,F51,0.07577777653932571
1,2,E54,0.0724482387304306
1,2,K50,3.891519784927368
1,2,M07,0.06622567772865295
1,2,K55,0.07395359873771667
1,2,L84,0.07197920978069305
1,2,J17,0.07012733072042465
1,2,D07,0.07011035829782486
1,2,C84,0.06730668991804123
1,2,H36,0.06891725212335587
1,2,G97,0.06451739370822906
1,2,C18,0.07059362530708313
1,2,C16,0.06754269450902939
1,2,A65,0.06898272782564163
1,2,K43,0.07281825691461563
1,2,F79,0.0655108168721199
1,2,D37,0.06875571608543396
1,2,E22,0.06957349181175232
1,2,C69,0.06680182367563248
1,2,F62,0.06789487600326538
1,2,H71,0.0692126601934433
1,2,M31,0.06969451159238815
1,2,N94,4.264009952545166
1,2,B86,0.06548144668340683
1,2,D56,0.06957647204399109
1,2,G09,0.07853155583143234
1,2,A44,0.07485513389110565
1,2,G95,0.0723920539021492
1,2,G83,0.0695708692073822
1,2,F31,0.07140693813562393
1,2,I80,0.07114458829164505
1,2,G51,6.587411880493164
1,2,K00,0.07629546523094177
1,2,M18,0.06836336851119995
1,2,B24,0.06549549102783203
1,2,L67,0.06700586527585983
1,2,N99,0.06584735214710236
1,2,A67,0.06510445475578308
1,2,H27,0.07276774942874908
1,2,A96,0.06876754015684128
1,2,F99,0.07277393341064453
1,2,N89,0.06672603636980057
1,2,B96,3.1245434284210205
1,2,C57,0.06863337010145187
1,2,G61,0.0707545131444931
1,2,I82,0.06954380869865417
1,2,K05,0.07219541072845459
1,2,K83,0.06234117969870567
1,2,H46,0.07122993469238281
1,2,D66,0.07206866145133972
1,2,L68,0.07331468909978867
1,2,K80,3.2551448345184326
1,2,C22,0.06910163164138794
1,2,F22,0.07758112251758575
1,2,L11,0.07189501076936722
1,2,D06,0.07138103246688843
1,2,A27,0.06809528917074203
1,2,B06,0.0692216232419014
1,2,F89,3.1384780406951904
1,2,H57,0.06620392203330994
1,2,L23,0.07008669525384903
1,2,N45,0.07154873758554459
1,2,B20,0.07284902036190033
1,2,E26,0.07986453920602798
1,2,I62,0.06334730982780457
1,2,C23,0.06911839544773102
1,2,L54,0.06895143538713455
1,2,K52,1.8071140050888062
1,2,I40,0.07463531196117401
1,2,B55,0.06672825664281845
1,2,C40,0.06600113958120346
1,2,C77,0.07206951826810837
1,2,B30,0.07095266133546829
1,2,A30,0.06381060183048248
1,2,E52,0.07352057099342346
1,2,K28,0.07190673798322678
1,2,M03,0.0646558329463005
1,2,I44,0.06542696058750153
1,2,G43,3.5405478477478027
1,2,C33,0.07076270878314972
1,2,L30,0.05868597328662872
1,2,B53,0.0651518926024437
1,2,C79,0.0763939768075943
1,2,D77,0.07136048376560211
1,2,H61,3.7917516231536865
1,2,M66,0.06780672818422318
1,2,D29,0.07250844687223434
1,2,I77,0.06851882487535477
