node,mean_drift
N40-N51,2.3786554847444807
N20-N23,2.136536189488002
H30-H36,2.058759104460478
H25-H28,1.9953888266214304
M95-M99,1.9238859244755335
A65-A69,1.8553414685385567
H80-H83,1.7531219039644514
H60-H62,1.7188024861471993
H49-H52,1.7173099517822266
K65-K67,1.7013447625296456
H53-H54,1.6947235124451774
K35-K38,1.6928133623940604
N10-N16,1.667769696031298
N30-N39,1.6507772292409624
L60-L75,1.5754461932395185
G50-G59,1.518027982541493
M40-M54,1.447945671422141
M80-M94,1.4160966788019453
M60-M79,1.3954795598983765
F20-F29,1.3890164835112435
