node,mean_drift
Urinary tract calculi,1.9184012512365978
Urinary incontinence,1.9114266335964203
Dizziness,0.9257827292506894
Chronic cholecystitis/gallstones,0.905659685532252
Severe hearing loss,0.9028809576605757
Severe vision reduction,0.885108044060568
Hemorrhoids,0.8407061360776424
Migraine/chronic headache,0.8343882896006107
Diabetes mellitus,0.8210607220729192
Insomnia,0.8136375943819681
Hyperuricemia/gout,0.7680663764476776
Tobacco abuse,0.7162443896134695
Asthma/COPD,0.7132763812939326
Chronic gastritis/GERD,0.6950997256984314
Renal insufficiency,0.6891167163848877
Prostatic hyperplasia,0.6871773234258095
Sexual dysfunction,0.6824935177961985
Cancer,0.6753438115119934
Cerebral ischemia/chronic stroke,0.6741188637291392
Chronic ischemic heart disease,0.6720857471227646
