age_from,age_to,node,knn_stability
1,2,F55,0.0
1,2,I99,0.0
1,2,D23,0.0
1,2,M00,0.02040816326530612
1,2,A26,0.02040816326530612
1,2,A25,0.0
1,2,D67,0.02040816326530612
1,2,D80,0.02040816326530612
1,2,C66,0.02040816326530612
1,2,D38,0.041666666666666664
1,2,N02,0.02040816326530612
1,2,D20,0.0
1,2,N10,0.0
1,2,E10,0.02040816326530612
1,2,M16,0.041666666666666664
1,2,J02,0.0
1,2,E90,0.0
1,2,E59,0.0
1,2,A64,0.0
1,2,H45,0.02040816326530612
1,2,K67,0.0
1,2,B21,0.0
1,2,G92,0.02040816326530612
1,2,K90,0.0
1,2,J10,0.0
1,2,D46,0.041666666666666664
1,2,D47,0.0
1,2,H70,0.0
1,2,A38,0.0
1,2,A51,0.06382978723404255
1,2,L44,0.0
1,2,K22,0.0
1,2,G70,0.02040816326530612
1,2,C10,0.02040816326530612
1,2,N25,0.0
1,2,M19,0.02040816326530612
1,2,N21,0.02040816326530612
1,2,C92,0.041666666666666664
1,2,D58,0.0
1,2,A19,0.0
1,2,H66,0.0
1,2,K59,0.19047619047619047
1,2,K20,0.0
1,2,M54,0.0
1,2,I65,0.0
1,2,F17,0.0
1,2,L83,0.0
1,2,G03,0.02040816326530612
1,2,K03,0.0
1,2,M86,0.0
1,2,N61,0.0
1,2,J68,0.0
1,2,J12,0.0
1,2,I85,0.0
1,2,A43,0.041666666666666664
1,2,A87,0.02040816326530612
1,2,D64,0.0
1,2,A52,0.0
1,2,J46,0.0
1,2,K64,0.02040816326530612
1,2,E29,0.0
1,2,E71,0.0
1,2,K93,0.0
1,2,L57,0.02040816326530612
1,2,M93,0.02040816326530612
1,2,F14,0.02040816326530612
1,2,N06,0.0
1,2,M45,0.0
1,2,N07,0.06382978723404255
1,2,D72,0.0
1,2,E72,0.02040816326530612
1,2,G36,0.041666666666666664
1,2,G72,0.0
1,2,M50,0.02040816326530612
1,2,D53,0.0
1,2,K26,0.0
1,2,I68,0.0
1,2,N62,0.0
1,2,I21,0.041666666666666664
1,2,B74,0.02040816326530612
1,2,F10,0.0
1,2,G58,0.041666666666666664
1,2,N01,0.0
1,2,K56,0.08695652173913043
1,2,F73,0.0
1,2,E32,0.0
1,2,J35,0.1111111111111111
1,2,L20,0.08695652173913043
1,2,E40,0.041666666666666664
1,2,B16,0.0
1,2,K76,0.0
1,2,A70,0.0
1,2,I71,0.02040816326530612
1,2,D15,0.02040816326530612
1,2,E70,0.02040816326530612
1,2,G80,0.42857142857142855
1,2,M34,0.02040816326530612
1,2,L02,0.02040816326530612
1,2,K82,0.0
1,2,K92,0.0
1,2,M13,0.02040816326530612
1,2,E58,0.0
1,2,I28,0.0
1,2,M68,0.041666666666666664
1,2,C51,0.0
1,2,N97,0.02040816326530612
1,2,L85,0.02040816326530612
1,2,C25,0.0
1,2,G23,0.0
1,2,J15,0.0
1,2,M23,0.02040816326530612
1,2,M60,0.0
1,2,G11,0.0
1,2,C80,0.0
1,2,D52,0.0
1,2,E73,0.02040816326530612
1,2,F98,0.28205128205128205
1,2,I61,0.041666666666666664
1,2,M42,0.0
1,2,D33,0.0
1,2,M99,0.02040816326530612
1,2,K58,0.0
1,2,F81,0.28205128205128205
1,2,I49,0.06382978723404255
1,2,A23,0.0
1,2,L12,0.0
1,2,L97,0.02040816326530612
1,2,H62,0.0
1,2,L40,0.0
1,2,N15,0.0
1,2,L89,0.02040816326530612
1,2,E76,0.0
1,2,H69,0.06382978723404255
1,2,A01,0.0
1,2,N04,0.0
1,2,M49,0.0
1,2,I20,0.02040816326530612
1,2,L42,0.0
1,2,F51,0.0
1,2,E54,0.02040816326530612
1,2,K50,0.0
1,2,M07,0.0
1,2,K55,0.0
1,2,L84,0.0
1,2,J17,0.0
1,2,D07,0.02040816326530612
1,2,C84,0.0
1,2,H36,0.0
1,2,G97,0.0
1,2,C18,0.02040816326530612
1,2,C16,0.02040816326530612
1,2,A65,0.02040816326530612
1,2,K43,0.0
1,2,F79,0.0
1,2,D37,0.0
1,2,E22,0.0
1,2,C69,0.02040816326530612
1,2,F62,0.02040816326530612
1,2,H71,0.0
1,2,M31,0.041666666666666664
1,2,N94,0.0
1,2,B86,0.0
1,2,D56,0.041666666666666664
1,2,G09,0.02040816326530612
1,2,A44,0.0
1,2,G95,0.0
1,2,G83,0.0
1,2,F31,0.0
1,2,I80,0.0
1,2,G51,0.06382978723404255
1,2,K00,0.0
1,2,M18,0.02040816326530612
1,2,B24,0.041666666666666664
1,2,L67,0.0
1,2,N99,0.02040816326530612
1,2,A67,0.0
1,2,H27,0.0
1,2,A96,0.02040816326530612
1,2,F99,0.041666666666666664
1,2,N89,0.0
1,2,B96,0.0
1,2,C57,0.0
1,2,G61,0.02040816326530612
1,2,I82,0.041666666666666664
1,2,K05,0.02040816326530612
1,2,K83,0.0
1,2,H46,0.02040816326530612
1,2,D66,0.0
1,2,L68,0.02040816326530612
1,2,K80,0.0
1,2,C22,0.0
1,2,F22,0.02040816326530612
1,2,L11,0.02040816326530612
1,2,D06,0.041666666666666664
1,2,A27,0.0
1,2,B06,0.02040816326530612
1,2,F89,0.0
1,2,H57,0.0
1,2,L23,0.041666666666666664
1,2,N45,0.041666666666666664
1,2,B20,0.02040816326530612
1,2,E26,0.0
1,2,I62,0.0
1,2,C23,0.02040816326530612
1,2,L54,0.02040816326530612
1,2,K52,0.02040816326530612
1,2,I40,0.041666666666666664
1,2,B55,0.0
1,2,C40,0.041666666666666664
1,2,C77,0.02040816326530612
1,2,B30,0.0
1,2,A30,0.0
1,2,E52,0.041666666666666664
1,2,K28,0.0
1,2,M03,0.0
