node,age,age_range,distance_from_ref
E11,1,0-9,0.0
E11,2,10-19,0.06130718067288399
E11,3,20-29,3.478877305984497
E11,4,30-39,3.255824327468872
E11,5,40-49,2.721998929977417
E11,6,50-59,2.5676944255828857
E11,7,60-69,2.5660388469696045
E11,8,70-79,2.503075361251831
I10,1,0-9,0.0
I10,2,10-19,4.1561737060546875
I10,3,20-29,3.6858956813812256
I10,4,30-39,3.1063733100891113
I10,5,40-49,2.6881771087646484
I10,6,50-59,2.514418840408325
I10,7,60-69,2.515068769454956
I10,8,70-79,2.5978078842163086
I50,1,0-9,0.0
I50,2,10-19,0.06797724962234497
I50,3,20-29,0.07058899104595184
I50,4,30-39,0.07205870002508163
I50,5,40-49,3.1598362922668457
I50,6,50-59,2.5983614921569824
I50,7,60-69,2.3993895053863525
I50,8,70-79,2.4488134384155273
E66,1,0-9,0.0
E66,2,10-19,4.133306503295898
E66,3,20-29,3.4294700622558594
E66,4,30-39,3.0944058895111084
E66,5,40-49,2.6526026725769043
E66,6,50-59,2.583416223526001
E66,7,60-69,2.38930344581604
E66,8,70-79,2.4249417781829834
F32,1,0-9,0.0
F32,2,10-19,3.931933641433716
F32,3,20-29,3.5039405822753906
F32,4,30-39,3.0244059562683105
F32,5,40-49,2.598987579345703
F32,6,50-59,2.538057804107666
F32,7,60-69,2.4391250610351562
F32,8,70-79,2.365995168685913
E74,1,0-9,0.0
E74,2,10-19,4.723679065704346
E74,3,20-29,4.652693748474121
E74,4,30-39,5.406573295593262
E74,5,40-49,4.098656177520752
E74,6,50-59,3.592101812362671
E74,7,60-69,3.7401134967803955
E74,8,70-79,1.9518086910247803
E73,1,0-9,0.0
E73,2,10-19,4.666469097137451
E73,3,20-29,4.586749076843262
E73,4,30-39,5.2142815589904785
E73,5,40-49,3.9936864376068115
E73,6,50-59,3.4561941623687744
E73,7,60-69,3.638233184814453
E73,8,70-79,2.5368881225585938
D06,1,0-9,0.0
D06,2,10-19,0.06636996567249298
D06,3,20-29,5.4795942306518555
D06,4,30-39,4.989043712615967
D06,5,40-49,4.583297252655029
D06,6,50-59,5.542817115783691
D06,7,60-69,0.0733962282538414
D06,8,70-79,0.07305518537759781
N87,1,0-9,0.0
N87,2,10-19,0.06266080588102341
N87,3,20-29,5.5312018394470215
N87,4,30-39,4.630431652069092
N87,5,40-49,4.613650321960449
N87,6,50-59,5.268163204193115
N87,7,60-69,0.07111848890781403
N87,8,70-79,0.06849181652069092
M23,1,0-9,0.0
M23,2,10-19,5.324288368225098
M23,3,20-29,4.993796348571777
M23,4,30-39,4.44527006149292
M23,5,40-49,3.886420965194702
M23,6,50-59,3.665168285369873
M23,7,60-69,3.813314437866211
M23,8,70-79,3.801858425140381
