node,age,age_range,distance_from_ref
E11,1,0-9,0.0
E11,2,10-19,0.07041440159082413
E11,3,20-29,3.740137815475464
E11,4,30-39,3.3316586017608643
E11,5,40-49,2.5839781761169434
E11,6,50-59,2.474277973175049
E11,7,60-69,2.4051692485809326
E11,8,70-79,2.4281771183013916
I10,1,0-9,0.0
I10,2,10-19,4.343860149383545
I10,3,20-29,3.677839994430542
I10,4,30-39,3.2337841987609863
I10,5,40-49,2.5505530834198
I10,6,50-59,2.643683910369873
I10,7,60-69,2.493769645690918
I10,8,70-79,2.609510898590088
I50,1,0-9,0.0
I50,2,10-19,0.0702778771519661
I50,3,20-29,0.0720473900437355
I50,4,30-39,3.2995948791503906
I50,5,40-49,2.8257269859313965
I50,6,50-59,2.4687116146087646
I50,7,60-69,2.4078588485717773
I50,8,70-79,2.400747537612915
E66,1,0-9,0.0
E66,2,10-19,3.681090831756592
E66,3,20-29,3.244174003601074
E66,4,30-39,3.4375123977661133
E66,5,40-49,3.321216106414795
E66,6,50-59,3.353153705596924
E66,7,60-69,2.294210910797119
E66,8,70-79,2.3846325874328613
F32,1,0-9,0.0
F32,2,10-19,4.3634796142578125
F32,3,20-29,3.656531572341919
F32,4,30-39,3.13836669921875
F32,5,40-49,2.743394136428833
F32,6,50-59,2.5913305282592773
F32,7,60-69,2.4286136627197266
F32,8,70-79,2.5181918144226074
F20,1,0-9,0.0
F20,2,10-19,5.711184024810791
F20,3,20-29,3.8259847164154053
F20,4,30-39,3.4309418201446533
F20,5,40-49,3.23956561088562
F20,6,50-59,2.5157244205474854
F20,7,60-69,2.1573472023010254
F20,8,70-79,0.06771191954612732
M51,1,0-9,0.0
M51,2,10-19,5.076519012451172
M51,3,20-29,4.624427318572998
M51,4,30-39,3.830763578414917
M51,5,40-49,3.44089412689209
M51,6,50-59,3.1525039672851562
M51,7,60-69,3.194474697113037
M51,8,70-79,3.105287790298462
K08,1,0-9,0.0
K08,2,10-19,4.126908302307129
K08,3,20-29,1.6139811277389526
K08,4,30-39,1.2851282358169556
K08,5,40-49,1.7644115686416626
K08,6,50-59,3.1472432613372803
K08,7,60-69,4.132388114929199
K08,8,70-79,4.119344711303711
D40,1,0-9,0.0
D40,2,10-19,0.06842073053121567
D40,3,20-29,5.315229892730713
D40,4,30-39,5.339844226837158
D40,5,40-49,3.874143123626709
D40,6,50-59,3.466585874557495
D40,7,60-69,3.3670501708984375
D40,8,70-79,3.243281602859497
C73,1,0-9,0.0
C73,2,10-19,0.06943198293447495
C73,3,20-29,0.06518314778804779
C73,4,30-39,5.517232894897461
C73,5,40-49,4.887301445007324
C73,6,50-59,4.377129554748535
C73,7,60-69,3.0608913898468018
C73,8,70-79,0.07008060812950134
