node,mean_drift
H46-H48,2.5035403626305714
G35-G37,2.0430195576378276
L60-L75,2.0223518950598582
A50-A64,1.915954458394221
L00-L08,1.7296343360628401
H30-H36,1.7210677723799432
M95-M99,1.6335745538984026
N20-N23,1.5960833856037684
K35-K38,1.5343135850770133
L80-L99,1.5029941030911036
K65-K67,1.444411677973611
F20-F29,1.4175046597208296
B15-B19,1.4174047793660844
N80-N98,1.3998666661126273
L55-L59,1.397122555545398
N60-N64,1.3554903487009662
B00-B09,1.3408516304833549
A65-A69,1.33486793083804
K00-K14,1.3210281910640853
A30-A49,1.3126642533711024
