age_from,age_to,node,drift
2,3,Cardiac arrhythmias,0.028532804921269417
2,3,Renal insufficiency,2.023503541946411
2,3,Joint arthrosis,0.03369757533073425
2,3,Thyroid diseases,2.683253288269043
2,3,Cardiac insufficiency,0.026792848482728004
2,3,Urinary incontinence,2.290278196334839
2,3,Severe vision reduction,0.02902510203421116
2,3,Urinary tract calculi,2.4612185955047607
2,3,Osteoporosis,0.03254608064889908
2,3,Lipid metabolism disorders8,1.341630220413208
2,3,Asthma/COPD,1.5315752029418945
2,3,Diabetes mellitus,2.617471694946289
2,3,Anxiety,2.2030093669891357
2,3,Liver disease,1.286345362663269
2,3,Severe hearing loss,0.037418823689222336
2,3,Cancer,0.027998171746730804
2,3,Allergy,0.025321364402770996
2,3,Sexual dysfunction,0.03083767555654049
2,3,Obesity,1.3522015810012817
2,3,Somatoform disorders,1.9729976654052734
2,3,Chronic low back pain,0.029077798128128052
2,3,Insomnia,1.8787323236465454
2,3,Neuropathies,0.02414451166987419
2,3,Rheumatoid arthritis/chronic polyarthritis,0.03201664984226227
2,3,Cardiac valve disorders,0.03067665733397007
2,3,Psoriasis,0.02817087061703205
2,3,Prostatic hyperplasia,0.02847285568714142
2,3,Chronic ischemic heart disease,0.03657089173793793
2,3,Hypertension,1.433304786682129
2,3,Hemorrhoids,0.028023121878504753
2,3,Parkinson’s disease,0.030682368203997612
2,3,Hypotension,0.026250597089529037
2,3,Atherosclerosis/PAOD,2.8800954818725586
2,3,Migraine/chronic headache,2.047288417816162
2,3,Chronic gastritis/GERD,1.993854284286499
2,3,Dementia,0.03662005439400673
2,3,Chronic cholecystitis/gallstones,1.16628897190094
2,3,Dizziness,3.9926841259002686
2,3,Gynecological problems,0.030271152034401894
2,3,Tobacco abuse,1.4631338119506836
2,3,Depression,1.9584598541259766
2,3,Anemia,1.9047346115112305
2,3,Intestinal diverticulosis,0.03304188698530197
2,3,Cerebral ischemia/chronic stroke,2.9696290493011475
2,3,Lower limb varicosis,0.02596277929842472
2,3,Hyperuricemia/gout,0.03256210312247276
3,4,Cardiac arrhythmias,1.4081019163131714
3,4,Renal insufficiency,1.014512300491333
3,4,Joint arthrosis,2.7070300579071045
3,4,Thyroid diseases,0.7083696126937866
3,4,Cardiac insufficiency,0.03126171976327896
3,4,Urinary incontinence,1.2214843034744263
3,4,Severe vision reduction,1.69572114944458
3,4,Urinary tract calculi,1.3974778652191162
3,4,Osteoporosis,0.030795009806752205
3,4,Lipid metabolism disorders8,0.7581566572189331
3,4,Asthma/COPD,0.7115294933319092
3,4,Diabetes mellitus,0.5765025019645691
3,4,Anxiety,0.4800487756729126
3,4,Liver disease,0.6511290669441223
3,4,Severe hearing loss,2.4690306186676025
3,4,Cancer,0.031729310750961304
3,4,Allergy,0.033198222517967224
3,4,Sexual dysfunction,0.033075179904699326
3,4,Obesity,0.5519368052482605
3,4,Somatoform disorders,0.43116313219070435
3,4,Chronic low back pain,1.660294532775879
3,4,Insomnia,0.4898025095462799
3,4,Neuropathies,0.02783317118883133
3,4,Rheumatoid arthritis/chronic polyarthritis,2.5025720596313477
3,4,Cardiac valve disorders,0.028930244967341423
3,4,Psoriasis,0.03628318011760712
3,4,Prostatic hyperplasia,0.026721583679318428
3,4,Chronic ischemic heart disease,1.4192100763320923
3,4,Hypertension,0.6106747984886169
3,4,Hemorrhoids,0.028344038873910904
3,4,Parkinson’s disease,0.030973656103014946
3,4,Hypotension,1.5091748237609863
3,4,Atherosclerosis/PAOD,2.0735819339752197
3,4,Migraine/chronic headache,0.6221035122871399
3,4,Chronic gastritis/GERD,1.1726722717285156
3,4,Dementia,0.03042905032634735
3,4,Chronic cholecystitis/gallstones,0.6207040548324585
3,4,Dizziness,2.3873825073242188
3,4,Gynecological problems,0.03200845420360565
3,4,Tobacco abuse,0.5585860013961792
3,4,Depression,0.558230459690094
3,4,Anemia,0.9876701235771179
3,4,Intestinal diverticulosis,1.9793124198913574
3,4,Cerebral ischemia/chronic stroke,2.1075172424316406
3,4,Lower limb varicosis,0.029168453067541122
3,4,Hyperuricemia/gout,1.4412121772766113
4,5,Cardiac arrhythmias,0.5349780917167664
4,5,Renal insufficiency,0.6842416524887085
4,5,Joint arthrosis,2.1763689517974854
4,5,Thyroid diseases,0.3637641966342926
4,5,Cardiac insufficiency,1.4217979907989502
4,5,Urinary incontinence,1.0886952877044678
4,5,Severe vision reduction,0.5528249740600586
4,5,Urinary tract calculi,1.1693058013916016
4,5,Osteoporosis,0.035177081823349
4,5,Lipid metabolism disorders8,0.4113752841949463
4,5,Asthma/COPD,0.36065739393234253
4,5,Diabetes mellitus,0.3307844400405884
4,5,Anxiety,0.29370877146720886
4,5,Liver disease,0.33900314569473267
4,5,Severe hearing loss,0.5879219770431519
4,5,Cancer,0.037772286683321
4,5,Allergy,1.4962519407272339
4,5,Sexual dysfunction,0.026066191494464874
4,5,Obesity,0.439005583524704
4,5,Somatoform disorders,0.32908809185028076
4,5,Chronic low back pain,0.5046675801277161
4,5,Insomnia,0.377548485994339
4,5,Neuropathies,0.028180714696645737
4,5,Rheumatoid arthritis/chronic polyarthritis,1.9240152835845947
4,5,Cardiac valve disorders,1.4473259449005127
4,5,Psoriasis,1.309942603111267
4,5,Prostatic hyperplasia,0.03343765437602997
4,5,Chronic ischemic heart disease,0.5315989851951599
4,5,Hypertension,0.435705304145813
4,5,Hemorrhoids,1.9560482501983643
4,5,Parkinson’s disease,0.0335426926612854
4,5,Hypotension,0.6295614838600159
4,5,Atherosclerosis/PAOD,0.7392715215682983
4,5,Migraine/chronic headache,0.2630103826522827
4,5,Chronic gastritis/GERD,0.7681024074554443
4,5,Dementia,1.3709824085235596
4,5,Chronic cholecystitis/gallstones,0.5129014849662781
4,5,Dizziness,0.287306010723114
4,5,Gynecological problems,0.030494285747408867
4,5,Tobacco abuse,0.3691493272781372
4,5,Depression,0.2821580767631531
4,5,Anemia,0.7898841500282288
4,5,Intestinal diverticulosis,1.1115385293960571
4,5,Cerebral ischemia/chronic stroke,0.7216081619262695
4,5,Lower limb varicosis,0.040034327656030655
4,5,Hyperuricemia/gout,0.4387010931968689
5,6,Cardiac arrhythmias,0.5467487573623657
5,6,Renal insufficiency,0.4831458032131195
5,6,Joint arthrosis,1.2179343700408936
5,6,Thyroid diseases,0.46339869499206543
5,6,Cardiac insufficiency,0.735022246837616
5,6,Urinary incontinence,1.0313516855239868
5,6,Severe vision reduction,0.5347965955734253
5,6,Urinary tract calculi,1.260007619857788
5,6,Osteoporosis,1.6104490756988525
5,6,Lipid metabolism disorders8,0.3054640293121338
5,6,Asthma/COPD,0.412995308637619
5,6,Diabetes mellitus,0.2857765555381775
5,6,Anxiety,0.20905597507953644
5,6,Liver disease,0.28032222390174866
5,6,Severe hearing loss,0.6468842029571533
5,6,Cancer,1.1459993124008179
5,6,Allergy,0.4576098322868347
5,6,Sexual dysfunction,0.023185573518276215
5,6,Obesity,0.197214737534523
5,6,Somatoform disorders,0.22671087086200714
5,6,Chronic low back pain,0.6653278470039368
5,6,Insomnia,0.31546059250831604
5,6,Neuropathies,0.02902967855334282
5,6,Rheumatoid arthritis/chronic polyarthritis,0.5795499682426453
5,6,Cardiac valve disorders,0.6689580678939819
5,6,Psoriasis,0.43559399247169495
5,6,Prostatic hyperplasia,0.031241949647665024
5,6,Chronic ischemic heart disease,0.4785939157009125
5,6,Hypertension,0.2658514380455017
5,6,Hemorrhoids,0.8130413889884949
5,6,Parkinson’s disease,1.1829241514205933
5,6,Hypotension,0.49093055725097656
5,6,Atherosclerosis/PAOD,0.3966171443462372
5,6,Migraine/chronic headache,0.3210376501083374
5,6,Chronic gastritis/GERD,0.49743568897247314
5,6,Dementia,0.8494372367858887
5,6,Chronic cholecystitis/gallstones,0.5142403244972229
5,6,Dizziness,0.47716185450553894
5,6,Gynecological problems,0.03015696071088314
5,6,Tobacco abuse,0.31397804617881775
5,6,Depression,0.375742107629776
5,6,Anemia,0.38462764024734497
5,6,Intestinal diverticulosis,0.731865406036377
5,6,Cerebral ischemia/chronic stroke,0.4479295015335083
5,6,Lower limb varicosis,0.031993478536605835
5,6,Hyperuricemia/gout,0.36412206292152405
6,7,Cardiac arrhythmias,0.4402848482131958
6,7,Renal insufficiency,0.5079349279403687
6,7,Joint arthrosis,0.5165419578552246
6,7,Thyroid diseases,0.1748400181531906
6,7,Cardiac insufficiency,0.44522207975387573
6,7,Urinary incontinence,1.0149434804916382
6,7,Severe vision reduction,1.2650748491287231
6,7,Urinary tract calculi,1.2287126779556274
6,7,Osteoporosis,0.817758321762085
6,7,Lipid metabolism disorders8,0.4087170660495758
6,7,Asthma/COPD,0.35818859934806824
6,7,Diabetes mellitus,0.28362441062927246
6,7,Anxiety,0.20770810544490814
6,7,Liver disease,0.25971606373786926
6,7,Severe hearing loss,0.718271017074585
6,7,Cancer,0.36636465787887573
6,7,Allergy,0.5527821183204651
6,7,Sexual dysfunction,0.027220014482736588
6,7,Obesity,0.2580878734588623
6,7,Somatoform disorders,0.2532038986682892
6,7,Chronic low back pain,0.7202223539352417
6,7,Insomnia,0.38081544637680054
6,7,Neuropathies,1.1669281721115112
6,7,Rheumatoid arthritis/chronic polyarthritis,0.3495471477508545
6,7,Cardiac valve disorders,0.3024122416973114
6,7,Psoriasis,0.3090451955795288
6,7,Prostatic hyperplasia,0.03737252950668335
6,7,Chronic ischemic heart disease,0.33666884899139404
6,7,Hypertension,0.33097317814826965
6,7,Hemorrhoids,0.9277974367141724
6,7,Parkinson’s disease,0.6403855681419373
6,7,Hypotension,0.4732217490673065
6,7,Atherosclerosis/PAOD,0.3152218461036682
6,7,Migraine/chronic headache,0.3164788484573364
6,7,Chronic gastritis/GERD,0.44594934582710266
6,7,Dementia,0.6799350380897522
6,7,Chronic cholecystitis/gallstones,0.28499919176101685
6,7,Dizziness,0.8452674746513367
6,7,Gynecological problems,1.144032597541809
6,7,Tobacco abuse,0.22315317392349243
6,7,Depression,0.27273374795913696
6,7,Anemia,0.36535704135894775
6,7,Intestinal diverticulosis,0.8846155405044556
6,7,Cerebral ischemia/chronic stroke,0.34535500407218933
6,7,Lower limb varicosis,1.052127480506897
6,7,Hyperuricemia/gout,0.3826385736465454
7,8,Cardiac arrhythmias,0.21698646247386932
7,8,Renal insufficiency,0.25381892919540405
7,8,Joint arthrosis,0.6009373664855957
7,8,Thyroid diseases,0.17655318975448608
7,8,Cardiac insufficiency,0.206791952252388
7,8,Urinary incontinence,0.6370434165000916
7,8,Severe vision reduction,0.023583227768540382
7,8,Urinary tract calculi,0.8259836435317993
7,8,Osteoporosis,0.5446518063545227
7,8,Lipid metabolism disorders8,0.3236822485923767
7,8,Asthma/COPD,0.1685127317905426
7,8,Diabetes mellitus,0.25702205300331116
7,8,Anxiety,0.17465707659721375
7,8,Liver disease,0.2620525062084198
7,8,Severe hearing loss,1.3350334167480469
7,8,Cancer,0.426886647939682
7,8,Allergy,0.5387693643569946
7,8,Sexual dysfunction,0.02948276326060295
7,8,Obesity,0.208327516913414
7,8,Somatoform disorders,0.22060997784137726
7,8,Chronic low back pain,0.4695998430252075
7,8,Insomnia,0.32990342378616333
7,8,Neuropathies,0.4502299726009369
7,8,Rheumatoid arthritis/chronic polyarthritis,0.5298407077789307
7,8,Cardiac valve disorders,0.3526938557624817
7,8,Psoriasis,0.32521235942840576
7,8,Prostatic hyperplasia,0.031578365713357925
7,8,Chronic ischemic heart disease,0.2611042261123657
7,8,Hypertension,0.2606649398803711
7,8,Hemorrhoids,1.1003365516662598
7,8,Parkinson’s disease,0.5656565427780151
7,8,Hypotension,0.5262501835823059
7,8,Atherosclerosis/PAOD,0.26118284463882446
7,8,Migraine/chronic headache,0.28436654806137085
7,8,Chronic gastritis/GERD,0.4365931451320648
7,8,Dementia,0.6864107847213745
7,8,Chronic cholecystitis/gallstones,0.40556350350379944
7,8,Dizziness,0.7625206112861633
7,8,Gynecological problems,0.6031106114387512
7,8,Tobacco abuse,0.23551149666309357
7,8,Depression,0.22459472715854645
7,8,Anemia,0.5618430972099304
7,8,Intestinal diverticulosis,0.918867826461792
7,8,Cerebral ischemia/chronic stroke,0.4126114249229431
7,8,Lower limb varicosis,0.27052807807922363
7,8,Hyperuricemia/gout,0.23896746337413788
