node,mean_drift
M95-M99,2.0944216081074307
N40-N51,1.9585395881107874
N20-N23,1.9419902392796107
H60-H62,1.902489219393049
L60-L75,1.7677216593708311
J30-J39,1.679348451750619
L00-L08,1.6704854028565543
H30-H36,1.6542664718415057
H80-H83,1.6399375711168562
B35-B49,1.5618721076420374
A65-A69,1.559490263994251
H25-H28,1.5589747396962983
B15-B19,1.5298343556267875
L50-L54,1.5202531133379256
B00-B09,1.5000248636518205
F20-F29,1.4686489616121565
M80-M94,1.4544342841420854
N10-N16,1.4382439255714417
N30-N39,1.436594877924238
F60-F69,1.43429491349629
