age_from,age_to,node,drift
2,3,Urinary incontinence,4.42386531829834
2,3,Liver disease,1.27583909034729
2,3,Urinary tract calculi,4.4495110511779785
2,3,Anemia,2.054537296295166
2,3,Chronic low back pain,0.02958373911678791
2,3,Insomnia,2.011367082595825
2,3,Cancer,2.238959789276123
2,3,Dizziness,0.02385096810758114
2,3,Lower limb varicosis,0.023854756727814674
2,3,Gynecological problems,0.027988236397504807
2,3,Chronic ischemic heart disease,2.0663962364196777
2,3,Hypotension,0.027875958010554314
2,3,Dementia,0.028063323348760605
2,3,Prostatic hyperplasia,0.027178891003131866
2,3,Rheumatoid arthritis/chronic polyarthritis,0.03530024737119675
2,3,Asthma/COPD,1.9854589700698853
2,3,Osteoporosis,0.0329420231282711
2,3,Somatoform disorders,1.21334969997406
2,3,Depression,1.2700576782226562
2,3,Chronic gastritis/GERD,0.026625508442521095
2,3,Lipid metabolism disorders8,1.3101491928100586
2,3,Diabetes mellitus,2.210413694381714
2,3,Obesity,1.533886432647705
2,3,Renal insufficiency,2.0639102458953857
2,3,Severe hearing loss,0.023708974942564964
2,3,Migraine/chronic headache,0.030905695632100105
2,3,Hyperuricemia/gout,2.281991481781006
2,3,Severe vision reduction,2.0122814178466797
2,3,Anxiety,1.3218060731887817
2,3,Atherosclerosis/PAOD,0.02583983726799488
2,3,Joint arthrosis,0.024136682972311974
2,3,Neuropathies,0.023487117141485214
2,3,Hypertension,1.544969081878662
2,3,Cardiac arrhythmias,0.0292429868131876
2,3,Tobacco abuse,2.1870641708374023
2,3,Parkinson’s disease,0.02576877363026142
2,3,Sexual dysfunction,0.026186108589172363
2,3,Cerebral ischemia/chronic stroke,0.025817861780524254
2,3,Psoriasis,0.026813296601176262
2,3,Allergy,0.028257684782147408
2,3,Cardiac insufficiency,0.027670517563819885
2,3,Thyroid diseases,0.028190312907099724
2,3,Intestinal diverticulosis,0.03224612772464752
2,3,Chronic cholecystitis/gallstones,2.0606746673583984
2,3,Hemorrhoids,0.029386011883616447
2,3,Cardiac valve disorders,0.023650841787457466
3,4,Urinary incontinence,1.074230670928955
3,4,Liver disease,0.802413821220398
3,4,Urinary tract calculi,1.087156891822815
3,4,Anemia,0.4558543264865875
3,4,Chronic low back pain,0.0289807990193367
3,4,Insomnia,0.5979909896850586
3,4,Cancer,0.34597137570381165
3,4,Dizziness,0.023925436660647392
3,4,Lower limb varicosis,0.023986293002963066
3,4,Gynecological problems,0.0245792455971241
3,4,Chronic ischemic heart disease,0.6469538807868958
3,4,Hypotension,0.03253309801220894
3,4,Dementia,0.03304844722151756
3,4,Prostatic hyperplasia,0.03239148482680321
3,4,Rheumatoid arthritis/chronic polyarthritis,0.03603507950901985
3,4,Asthma/COPD,0.48176631331443787
3,4,Osteoporosis,0.02561311237514019
3,4,Somatoform disorders,0.4732895493507385
3,4,Depression,0.5836567282676697
3,4,Chronic gastritis/GERD,1.8274517059326172
3,4,Lipid metabolism disorders8,0.6370649933815002
3,4,Diabetes mellitus,0.5875771641731262
3,4,Obesity,0.5668995976448059
3,4,Renal insufficiency,0.5131751894950867
3,4,Severe hearing loss,0.029869401827454567
3,4,Migraine/chronic headache,1.88929283618927
3,4,Hyperuricemia/gout,0.833321750164032
3,4,Severe vision reduction,0.5422248244285583
3,4,Anxiety,0.5997744202613831
3,4,Atherosclerosis/PAOD,1.8850758075714111
3,4,Joint arthrosis,0.03116069920361042
3,4,Neuropathies,0.029222507029771805
3,4,Hypertension,0.6700680255889893
3,4,Cardiac arrhythmias,1.7947001457214355
3,4,Tobacco abuse,0.7766252756118774
3,4,Parkinson’s disease,0.026684265583753586
3,4,Sexual dysfunction,0.034035321325063705
3,4,Cerebral ischemia/chronic stroke,1.9089678525924683
3,4,Psoriasis,1.63155996799469
3,4,Allergy,0.03222612664103508
3,4,Cardiac insufficiency,1.725788950920105
3,4,Thyroid diseases,1.5968255996704102
3,4,Intestinal diverticulosis,0.03289538249373436
3,4,Chronic cholecystitis/gallstones,1.349576473236084
3,4,Hemorrhoids,1.6496566534042358
3,4,Cardiac valve disorders,1.701718807220459
4,5,Urinary incontinence,4.19965934753418
4,5,Liver disease,0.610200822353363
4,5,Urinary tract calculi,4.10546350479126
4,5,Anemia,0.5683886408805847
4,5,Chronic low back pain,1.815564751625061
4,5,Insomnia,0.7660475969314575
4,5,Cancer,0.5187264680862427
4,5,Dizziness,2.232024908065796
4,5,Lower limb varicosis,0.02621503546833992
4,5,Gynecological problems,0.03045251965522766
4,5,Chronic ischemic heart disease,0.7478023171424866
4,5,Hypotension,1.1984282732009888
4,5,Dementia,1.1713085174560547
4,5,Prostatic hyperplasia,1.62847900390625
4,5,Rheumatoid arthritis/chronic polyarthritis,1.2783441543579102
4,5,Asthma/COPD,0.4536588788032532
4,5,Osteoporosis,0.029546519741415977
4,5,Somatoform disorders,0.4378962814807892
4,5,Depression,0.4141863286495209
4,5,Chronic gastritis/GERD,1.0499454736709595
4,5,Lipid metabolism disorders8,0.6029863953590393
4,5,Diabetes mellitus,0.6272413730621338
4,5,Obesity,0.5369630455970764
4,5,Renal insufficiency,0.5814683437347412
4,5,Severe hearing loss,2.386690855026245
4,5,Migraine/chronic headache,1.6270718574523926
4,5,Hyperuricemia/gout,0.5733562111854553
4,5,Severe vision reduction,0.5399629473686218
4,5,Anxiety,0.42374831438064575
4,5,Atherosclerosis/PAOD,1.0724456310272217
4,5,Joint arthrosis,0.036062680184841156
4,5,Neuropathies,0.026711970567703247
4,5,Hypertension,0.4855584502220154
4,5,Cardiac arrhythmias,0.7837300300598145
4,5,Tobacco abuse,0.4781826436519623
4,5,Parkinson’s disease,0.024441367015242577
4,5,Sexual dysfunction,1.3185909986495972
4,5,Cerebral ischemia/chronic stroke,1.1364136934280396
4,5,Psoriasis,0.7519024610519409
4,5,Allergy,1.5983325242996216
4,5,Cardiac insufficiency,0.6842716336250305
4,5,Thyroid diseases,0.49428367614746094
4,5,Intestinal diverticulosis,1.8894932270050049
4,5,Chronic cholecystitis/gallstones,0.9520062804222107
4,5,Hemorrhoids,1.2663676738739014
4,5,Cardiac valve disorders,0.6519373059272766
5,6,Urinary incontinence,0.8632566928863525
5,6,Liver disease,0.5007659792900085
5,6,Urinary tract calculi,0.8857072591781616
5,6,Anemia,0.2043856382369995
5,6,Chronic low back pain,1.0284336805343628
5,6,Insomnia,0.628261148929596
5,6,Cancer,0.6205785274505615
5,6,Dizziness,0.820380449295044
5,6,Lower limb varicosis,0.030654538422822952
5,6,Gynecological problems,0.03656643256545067
5,6,Chronic ischemic heart disease,0.4287286698818207
5,6,Hypotension,0.4618717432022095
5,6,Dementia,0.5753600001335144
5,6,Prostatic hyperplasia,0.8532519340515137
5,6,Rheumatoid arthritis/chronic polyarthritis,1.3989572525024414
5,6,Asthma/COPD,0.3294946253299713
5,6,Osteoporosis,1.7074605226516724
5,6,Somatoform disorders,0.29913243651390076
5,6,Depression,0.3027140200138092
5,6,Chronic gastritis/GERD,0.7521215677261353
