node,mean_drift
H46-H48,2.6577455135328427
K35-K38,2.363287704331534
G35-G37,2.331896306148597
L60-L75,2.30801636832101
A50-A64,2.234574799026762
H30-H36,2.1147174244480476
M95-M99,2.018918582371303
K65-K67,1.9331675257001604
B15-B19,1.8153224842888969
L55-L59,1.7875252477824688
N60-N64,1.7677216572420937
N20-N23,1.7487562554223197
L80-L99,1.7439227444784982
H80-H83,1.742160473551069
H49-H52,1.734699785709381
B00-B09,1.7118001665387834
H53-H54,1.7051246677126204
N99-N99,1.6982286891766958
A30-A49,1.5551197954586573
A65-A69,1.5537275565522057
