node,mean_drift
Urinary tract calculi,2.0538425147533417
Urinary incontinence,1.914908727010091
Dizziness,1.0021538057674964
Chronic cholecystitis/gallstones,0.995755523443222
Severe hearing loss,0.9355790683378776
Insomnia,0.9243370393911997
Severe vision reduction,0.9218905630211035
Diabetes mellitus,0.8986349701881409
Migraine/chronic headache,0.8895003894964854
Hemorrhoids,0.8128258182356755
Hyperuricemia/gout,0.7893094221750895
Sexual dysfunction,0.7880765240018567
Asthma/COPD,0.7591635833183924
Chronic gastritis/GERD,0.7500117905437946
Chronic ischemic heart disease,0.7279773106177648
Renal insufficiency,0.7234355956315994
Cancer,0.716485063234965
Prostatic hyperplasia,0.7156738359481096
Chronic low back pain,0.7125551874438921
Rheumatoid arthritis/chronic polyarthritis,0.7092663509150346
