node,mean_drift
M95-M99,2.4818072829927718
N40-N51,2.3746021134512767
H60-H62,2.2927384035927907
H30-H36,2.1570612814809595
L60-L75,2.1486081017979552
H25-H28,2.0985613156642233
H80-H83,2.0815084832055226
A65-A69,2.031074857073171
N20-N23,2.0047232849257335
L00-L08,1.9072382705552238
G50-G59,1.8702881165913172
J30-J39,1.8282795974186488
B15-B19,1.7956986938204085
H53-H54,1.7839586223874773
M40-M54,1.760758297783988
B00-B09,1.724957593849727
H49-H52,1.7174942408289229
N30-N39,1.6731520891189575
L50-L54,1.6172918932778495
A50-A64,1.6103318477315562
